sentence,startTime
um today's content I'm super excited for so um Devin why don't you go ahead and introduce yourself and then we'll Dive,0:00
In everybody nice to meet you my name is Evan I oversee our expansion teams here,0:06
at drift um and been here about five years uh super excited to talk about how to sell,0:14
this c-suite faster we have an amazing list of uh people here to talk through,0:19
that with us today um before I pass over to Brooke one thing we want to get going in the chat,0:25
is um what is your biggest sales Outreach pet peeve so I want you all to think,0:31
about that um and put it into the chat and kind of go through and see what are some of the,0:38
trends that were we're seeing across the across the team and so um with that I'm gonna pass over to,0:43
Brooke first to introduce yourself and then we'll get to Katie and Ted I was just trying to think of what pet,0:50
peeve to add in I'll do that um I am Brooke I am a director of sales,0:55
at drift I work hand in hand with Evan my team is primarily new business we do,1:02
do a little bit of expansion but then we hand the accounts over to Evan's team to,1:07
take care of those customers for the long term uh so so that's my role and I,1:13
love doing these webinars it's fun to talk about this stuff I could do it all the time and happy to be here with,1:18
everyone I'll pass it to Katie thank you Brooke yeah hi everyone I'm really,1:24
excited to be here today I'm Katie and I can't executive at Outreach,1:29
um based out of London I saw in the chat we've got someone from Germany which I think is the closest to me that I've,1:34
seen here um yeah being at Outreach for about three years now done both an sdro and an,1:41
account executive role so yeah looking forward to sharing some perspectives on selling to the c-suite I'll pass it over,1:47
to 10 yeah great I'm seeing lots of pet peeves roll in I think it's funny we said the,1:54
biggest pet peeve that assumes that there's more than one for each of us but maybe that's a separate discussion hey,1:59
everyone Ted McKenna um I'm founding partner of a company called DCM insights we're a research company,2:04
um I also co-wrote a book called The jolt effect some of you might have heard uh recently with Matt Dixon you might,2:10
know from the Challenger sale days and so forth so excited to join the discussion today,2:15
awesome yeah and we are seeing some good pet peeves uh looks like no phone number no uh no ability to see,2:22
um account level intent that's a big one um so those are all things for sure as a,2:30
as any salesperson those would be uh tough things to kind of uh overcome,2:36
okay so the you know the first question we're,2:42
going to start off with this is the you know the understanding the most common pain points today for B2B Executives and,2:48
you know we were talking a little bit offline about this one Brooke um about some of the things that you're,2:53
kind of seeing in the field with reps and from talking to um to talking to a lot of Executives and,2:59
this kind of idea of consumption and a lot of um a lot of people buying technology and,3:05
so um wanted to kind of kick it up to you in terms of what you're seeing today and then obviously we'll kind of get,3:11
more perspective from Ted and Katie as well and we definitely are talking,3:16
directly with more c-level Executives than ever ever before I think in my,3:21
sales career I can't think of a time this number of c-level execs have been involved in a deal that is relatively,3:27
High Velocity you know these aren't deals that take a year to close um but they are deeply involved and I,3:35
think that the pain Point tied to those executive is being deeply involved has,3:42
to do with you know what we've seen in terms of the rate of purchasing,3:47
technology um you know for us at drift we're very deep in Tech uh SAS to be specific and,3:52
one of the biggest changes happen coming out of the pandemic,3:59
um you know there have been like this 10 plus year build up of tech purchasing and I don't know if you call it over,4:05
consumption but definitely heavy consumption um with the cloud and not long ago,4:11
anyone in any department at like director plus level had some budget that,4:17
they could largely spend without a ton of discussion or case building I'm not saying that it was easy on either side,4:22
for buyers or sellers but they you know had a lot of room to make decisions and they didn't necessarily have to go get,4:28
buy-in from other teams even if what they were purchasing maybe impacted those other teams and it could all,4:35
happen really fast and then that accelerated even more during the panda stomach and came coming out of that it,4:41
was almost like you know this hangover and that made its way to the sea level execs that we're talking to now as they,4:48
realized that you know their teams even with the best intentions had bought all this technology but there was under,4:55
utilization overlap of tools there was you know attacks on teams in terms of,5:01
bandwidth to get going on software um and so we sort of saw all of that,5:07
happening and we were watching at the sea level these execs sort of started start to untangle a lot of what had gone,5:12
on um and they still wanted to keep their teams moving fast right like there are a,5:20
lot of things that need to be purchased um but they had to start to smooth out what that evaluation process looked like,5:25
so they could make sure that you know everything was working at scale across all of their teams and that added a lot,5:33
more steps to the process um where you know now we are building more business cases,5:40
um we're talking to multiple departments and this all ties back to that pain point that the sea level has right now,5:46
which is I'm trying to keep my teams moving fast without over consuming and getting too tangled up with too many,5:53
vendors um so that's the biggest thing that I've seen lately Katie what about you I completely agree with you that Brooke,5:59
I think um I've also seen that a lot of companies have just got this excess in,6:06
their Tech stack and now as you said they've come to realize this and this sort of mandate of consolidation is,6:12
absolutely what I'm seeing as well um I think alongside this for a lot of we see sweets um the same kind of themes,6:18
keep on coming up so the team capacity has gotten tighter um budgets have been cut and they're,6:26
basically being asked to do more with less so the sort of themes that I keep on,6:33
saying is with this in mind how can we make sure that we're efficient and we're predictable and we're productive so I,6:39
think over the past few years there's been this real Mandate of just growth growth growth and growth at any cost but,6:46
it really seems now it's been clamped down and people are really striving for making sure that growth is profitable,6:52
which is really where efficiency comes in so yeah I think this all really does,6:57
feed back into your point around consolidation as well and just making sure that from both the rep level and a,7:03
technology stack everything is efficient and consolidated you're not in that Ted is that what,7:08
you're saying yeah totally I see tons a lot of overlap I mean so we just finished this giant giant study of uh,7:14
two and a half million sales conversations and indecision was the big thing that popped up I think you guys are making some really good points about,7:21
the evolution especially Tech purchases and how it's impacting how people are making decisions and I think you know,7:27
one difference we see now versus maybe two or three years ago is that it it now,7:34
it feels less likely we're going to move lose when we lose that we're going to lose to a competitor you know and more,7:40
likely we lose to no decision you know we're in the as in the past it's more about how different are we versus our,7:45
two or three big competitors because they're trying to decide who's best because I'm gonna spend money I just,7:51
need to figure out who I'm going to spend money with and now we see more and more deals dying to no decision and,7:57
specifically sort of indecision that they're they're gripped by and there's lots of evidence that that's on the rise,8:02
too for lots of secular reasons like one of the big reasons people to come to any decision is because,8:08
there's just so many options out there they get they get kind of stuck right or too much information out there that just paralyzes us all and that's not ending,8:15
right there's more information and more options out there every single day and so this is what we're hearing a lot is sort of,8:22
um decision makers in general and their teams really sort of just stalling out and and sort of gripped by indecision,8:28
should I move forward when should I move forward how should I move forward and so forth I think that's a really interesting,8:35
perspective and I think that ties in nicely to what you know Brook and Katie are both talking about which is you know you've seen this kind of growth this,8:41
like democratization of purchasing Within These companies um and there's more and more you know,8:47
we've all seen the list of our Tech lists and other lists as well of the amount of software companies is really,8:53
exploding right so you just have more and more to see more and more um options but that's not always,8:59
necessarily a good thing when it comes to you know actually making a decision or on the other side being a seller,9:04
where you not have to compete against a bunch of other players that maybe there is a massive amount of differentiation,9:10
in um Ted I think one more question there would be curious like how are like you know we've kind of talked about this,9:15
this pain Point around you know consolidation and um you know also leading to the,9:21
indecision because what companies have grown really quickly um how are you seeing you know these,9:26
Executives solve for that yeah well so on the sales side I think one is,9:32
kind of understanding that it's happening and by the way past persons regrets can feed a little bit this,9:38
indecision too right like who Among Us doesn't feel like you've been oversold or overbought you know in the past and,9:44
so those things can drive more hesitancy and more decision on this next,9:49
um on this next type of purchase we in the study we found lots of different,9:55
four specific behaviors that kind of address the indecision fears that buyers,10:00
have I mentioned two of them already the the third fear is outcome uncertainty so who who's who's ever uh felt this way no,10:05
matter how many case studies you send them no matter how many reference calls they've done no matter how many proof points you've given them they just still,10:13
don't feel like it's enough right like I I'll be the one exception so that's kind of the third fear is like you know how,10:19
much proof do you need like you know just like make that leap of faith I think Brooke makes a good point there's,10:26
less likely or less willing to make that leap of faith and so so what the best sellers do there's kind of four,10:31
techniques jolt is an acronym so yeah we want to jolt past a customer indecision but the,10:36
first one the J is a judging level of indecision so I have to understand and,10:43
measure the degree or the intensity of that indecision and incorporate it into,10:48
how I think about qualifying that opportunity or forecasting its likelihood to close the second one is,10:54
offering a recommendation that's the o so we can't just let the buyer on their,11:01
own decide is it this option or that option this configuration or that configuration this integration or that,11:06
can integration even after they believe that they should buy from you that they,11:11
want to buy they need to buy they still have lots of decisions they have to make to get to the point where they actually,11:17
transact so what the best sellers are doing is they're being more personal in making very specific recommendation of,11:22
this is the package this is the configuration um this is how to kind of think about this decision so that's offering a,11:29
recommendation the L is about limiting the expiration that kind of gets into that analysis paralysis that we know,11:35
buyers ask for it can be very tempting I think for a seller to get um sort of,11:41
head faked by the buyer who keeps wanting more demos right like can I have it just another demo and another and at,11:48
first it's like this is great they're loving it like they won't stop calling me they won't stop asking for it the high performers thinking hold on like,11:54
why wasn't the last demo enough like is there is it really the seventh demo is really going to change your decision calculus so we've got to find ways to,12:01
kind of limit that exploration and keep them into that sort of productive reasonable amounts of exploration so we,12:08
talk about kind of the techniques there and then the last one is taking risk off the table you know which sounds a little,12:14
bit obvious like in a situation when that buyer's grip to uncertainty I've got to find ways to make it feel less,12:19
